task_id	arm	alias	rep	exit_code	duration_s	prompt_tokens	completion_tokens	finish_reason	verdict	qualifier	extracted_answer	expected	stream_path	requests_this_cell	running_total	max_tokens	retried
02	A	flashnext	4	0	13	5575	74	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-A-r4.ndjson	1	14	20873	no
02	A	flashnext	5	0	12	5575	74	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-A-r5.ndjson	1	15	20873	no
02	C	flashnext-plan	1	0	13	5437	120	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-C-r1.ndjson	1	16	20873	no
02	C	flashnext-plan	2	0	15	5437	120	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-C-r2.ndjson	1	17	20873	no
02	C	flashnext-plan	3	0	15	5437	120	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-C-r3.ndjson	1	18	20873	no
02	C	flashnext-plan	4	0	16	5437	120	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-C-r4.ndjson	1	19	20873	no
02	C	flashnext-plan	5	0	16	5437	120	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-C-r5.ndjson	1	20	20873	no
03	A	flashnext	1	0	16	5601	208	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-A-r1.ndjson	1	21	20847	no
03	A	flashnext	2	0	16	5601	208	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-A-r2.ndjson	1	22	20847	no
03	A	flashnext	3	0	17	5601	208	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-A-r3.ndjson	1	23	20847	no
03	A	flashnext	4	0	17	5601	208	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-A-r4.ndjson	1	24	20847	no
03	A	flashnext	5	0	17	5601	208	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-A-r5.ndjson	1	25	20847	no
03	C	flashnext-plan	1	0	20	5463	275	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-C-r1.ndjson	1	26	20847	no
03	C	flashnext-plan	2	0	18	5463	275	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-C-r2.ndjson	1	27	20847	no
03	C	flashnext-plan	3	0	20	5463	275	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-C-r3.ndjson	1	28	20847	no
03	C	flashnext-plan	4	0	21	5463	275	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-C-r4.ndjson	1	29	20847	no
03	C	flashnext-plan	5	0	21	5463	275	stop	correct		2484	2484	phase-11/results/20260902T062649Z-ab-main/streams/03-C-r5.ndjson	1	30	20847	no
04	A	flashnext	1	0	18	5636	195	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-A-r1.ndjson	1	31	20833	no
04	A	flashnext	2	0	17	5636	195	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-A-r2.ndjson	1	32	20833	no
04	A	flashnext	3	0	17	5636	195	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-A-r3.ndjson	1	33	20833	no
04	A	flashnext	4	0	18	5636	195	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-A-r4.ndjson	1	34	20833	no
04	A	flashnext	5	0	16	5636	195	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-A-r5.ndjson	1	35	20833	no
04	C	flashnext-plan	1	0	19	5498	236	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-C-r1.ndjson	1	36	20833	no
04	C	flashnext-plan	2	0	20	5498	236	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-C-r2.ndjson	1	37	20833	no
04	C	flashnext-plan	3	0	21	5498	236	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-C-r3.ndjson	1	38	20833	no
04	C	flashnext-plan	4	0	20	5498	236	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-C-r4.ndjson	1	39	20833	no
04	C	flashnext-plan	5	0	20	5498	236	stop	correct		90	90	phase-11/results/20260902T062649Z-ab-main/streams/04-C-r5.ndjson	1	40	20833	no
05	A	flashnext	1	0	29	5619	119	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-A-r1.ndjson	2	42	20835	no
05	A	flashnext	2	0	32	5619	119	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-A-r2.ndjson	3	45	20835	no
05	A	flashnext	3	0	26	5619	119	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-A-r3.ndjson	2	47	20835	no
05	A	flashnext	4	0	25	5619	119	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-A-r4.ndjson	2	49	20835	no
05	A	flashnext	5	0	27	5619	119	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-A-r5.ndjson	2	51	20835	no
05	C	flashnext-plan	1	0	40	5481	305	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-C-r1.ndjson	2	53	20835	no
05	C	flashnext-plan	2	0	36	5481	305	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-C-r2.ndjson	2	55	20835	no
05	C	flashnext-plan	3	0	38	5481	305	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-C-r3.ndjson	2	57	20835	no
05	C	flashnext-plan	4	0	42	5481	305	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-C-r4.ndjson	2	59	20835	no
05	C	flashnext-plan	5	0	36	5481	305	stop	correct		7	7	phase-11/results/20260902T062649Z-ab-main/streams/05-C-r5.ndjson	2	61	20835	no
06	A	flashnext	1	0	30	5635	142	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-A-r1.ndjson	2	63	20802	no
06	A	flashnext	2	0	29	5635	142	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-A-r2.ndjson	2	65	20802	no
06	A	flashnext	3	0	29	5635	142	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-A-r3.ndjson	2	67	20802	no
06	A	flashnext	4	0	30	5635	142	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-A-r4.ndjson	2	69	20802	no
06	A	flashnext	5	0	29	5635	142	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-A-r5.ndjson	2	71	20802	no
06	C	flashnext-plan	1	0	22	5497	322	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-C-r1.ndjson	1	72	20802	no
06	C	flashnext-plan	2	0	25	5497	322	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-C-r2.ndjson	1	73	20802	no
06	C	flashnext-plan	3	0	25	5497	322	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-C-r3.ndjson	1	74	20802	no
06	C	flashnext-plan	4	0	25	5497	322	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-C-r4.ndjson	1	75	20802	no
06	C	flashnext-plan	5	0	25	5497	322	stop	incorrect		'a'	a	phase-11/results/20260902T062649Z-ab-main/streams/06-C-r5.ndjson	1	76	20802	no
07	A	flashnext	1	0	39	5631	156	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-A-r1.ndjson	3	79	20820	no
07	A	flashnext	2	0	29	5631	156	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-A-r2.ndjson	2	81	20820	no
07	A	flashnext	3	0	29	5631	156	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-A-r3.ndjson	2	83	20820	no
07	A	flashnext	4	0	32	5631	156	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-A-r4.ndjson	2	85	20820	no
07	A	flashnext	5	0	32	5631	156	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-A-r5.ndjson	2	87	20820	no
07	C	flashnext-plan	1	0	15	5493	188	stop	correct		4	4	phase-11/results/20260902T062649Z-ab-main/streams/07-C-r1.ndjson	1	88	20820	no
